Symbol,marketCap,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
DOW,-0.5239896168248118,-0.1200711489679632,-0.25419378473165366,-0.42526735156429635,-0.4966353672640688,-0.44934883706736534,-0.10031161995430156,0.29274972450076653,0.6665628409074607,1.763514697711781,-1.3781231177453532,-0.24987595948095154,-0.7832873105779785,-1.0060104301472688
DUK,-0.44184080399810977,-0.19766375216421733,-0.17287014409572782,-0.41776951063529905,-0.249616505167383,-0.3005379993275655,-0.09948337352374918,-0.040936863910861765,-1.330541194240025,1.0094227577535126,-0.3164682006626,-0.35622942526878537,0.12151734757684558,-0.07487208499425388
EMR,-0.4559674658324856,0.06758642034315071,-0.1083440731651168,-0.343163265056602,-0.41712806767029526,-0.3014594286634156,-0.10004207635774054,-0.039456444132600785,0.8493043866072307,0.019677086558285727,0.41523431604529076,-0.374336761350182,-0.04790670388680848,-0.32813868524355727
F,-0.5055914007720855,-0.2739163859476982,-0.4194924149588781,-0.4535011342171438,-0.5342647762321143,-0.5120060319051758,-0.10065466504899181,-0.058080124943123874,1.7473485540460998,2.0109511155105877,-1.0849867063878469,1.4804294567742724,-0.7979949227118018,-1.047128632040256
FDX,-0.46405528519536604,-0.2179295529916753,-0.2803116521289414,-0.38273736794460983,0.39493885489817065,0.45549477073748595,-0.09836663085528305,-0.16558820331875682,0.5490861329576088,-0.42806500279193593,-0.646544631918573,-0.4116743075248644,-0.9788794511628507,-0.8396861463174746
GD,-0.4595725631521937,-0.1930076792208434,-0.19033264448338647,-0.3568031140253575,0.20800566196013803,0.1481980872314595,-0.09899643467191263,-0.1340256595679119,-0.920678013170541,-0.01567097312725813,-0.49229878133907395,-0.4316067709515289,-0.6390763084865931,-0.5864196232130151
GE,-0.3023805044093445,-0.07177709794261566,0.1372411974795318,-0.08109861876764897,-0.2793558767711609,-0.3512166127993239,-0.10051088560210696,-0.20621092795591708,0.5778026615675723,-1.1585915696265083,1.5868860241419407,-0.3064776963446546,-0.46487705827819137,-0.5075004477223474
GILD,-0.39618037432768133,9.663775127005534,-0.28306461318626125,-0.221937334639143,-0.5822119263688175,-0.25032010052373205,-0.10057060128270216,9.806904326267844,-2.0223484743891538,0.9858573846298168,-0.2712747730242623,-0.2289921871154293,-0.09069248463974916,-1.1617658703385276
GM,-0.48163442531290346,-0.33497514172157444,-0.44339611510577853,-0.4588211600998003,-0.018984643750330012,-0.10565569479525785,-0.09943529462777227,-0.2457381360354851,1.1677967948268295,1.0094227577535126,0.658205523307728,-0.003937224145705951,-0.808882375849827,-0.7287518605348938
GOOGL,2.9265304570660122,-0.14025846741179016,-0.07940711619971824,-0.1666885364326961,-0.13005209280117394,-0.17983075633119522,-0.10032401118664558,-0.2442281078616589,0.17577126102807872,-1.3824626143016192,0.7960919318463476,0.49080964928659,0.32952500489806213,0.9437485133419646
GS,-0.2915141795681958,-0.21980500086168958,-0.24563406433853463,-0.41530753177740387,1.4837640111671002,1.322099061104556,-0.09341971711758423,-0.16233127980658266,0.9798340621070665,-0.021562316408181976,0.9913673734828121,-0.4049347734568608,-1.3097052201989823,0.7053707908546586
HD,0.043241103645150644,-0.11447318947719684,0.02879322367549888,2.607228213592178,0.3075415179401294,0.12608378317105587,-0.10077608540873188,-0.08227018411990822,0.11572761029815395,-0.02745365968910608,-0.06430016538532052,-0.35705201423358196,-0.38656379886432646,-0.46707654942605237
HON,-0.347380627110882,-0.1320971810085573,-0.09574134444168596,-0.12248360632438281,-0.06207638627825303,-0.08538424940655448,-0.10029760551624456,-0.11226348882747557,0.15227591943810798,-0.19830261483590125,-0.2819559677744402,-0.33348447657817215,-0.11800662145970703,-0.037765492138109424
